index	title	description	category
0	'Napoleon' is a hit with the box office, but not so much with critics	"Ridley Scott and David Scarpa's ""Napoleon"" for Apple TV+ has been praised as a masterpiece and mocked as a joke, but its early Thanksgiving opening saw it beat ""Killers of the Flower Moon"" at the box office.Image Credit: Apple""Napoleon"" has just begun its the…"	
1	How Ridley Scott’s Napoleon Stacks Up Against the French Emperor’s Real Story	A Napoleon scholar breaks down where Ridley Scott's new movie, starring Joaquin Phoenix, hews close to history, and where it takes creative license.	
2	Suriya Movie Kanguva to Release in 38 Languages, Claim Reports	The highly anticipated film Kanguva, directed by Siva and starring the charismatic Suriya, is set to make history. The film with its mega grandeur will have an unprecedented release in 38 languages. Also touted as director Siva’s magnum opus, the historical-f…	
3	Apple TV+ kicks off the holiday season with a Christmas musical special starring Hannah Waddingham and an assortment of Ted Lasso cameos	Apple TV+ today kicked off its holiday programming lineup with a new musical special ‘Home for Christmas’, in which Hannah Waddingham sings a variety of classic songs with cameos from much of the Ted Lasso cast. The 45-minute show was filmed earlier this year…	
4	Napoleon Director Ridley Scott Explains That Strange Egypt Scene	In a new interview, director Ridley Scott talks about the Egypt scene from his historical epic Napoleon starring Joaquin Phoenix.	
5	‘Saltburn’s Ambitious Expansion, Bradley Cooper’s ‘Maestro’, Miyazaki’s ‘The Boy And The Heron’ & Apple’s ‘Spirited’ Re-Release – Specialty Preview	Emerald Fennell’s dark comedy Saltburn takes a massive jump from to over 1,500 screens today as Bradley Cooper’s Maestro, Hayao Miyazaki’s latest The Boy and the Heron, animated They Shot The Piano Player and other festival favorites launch awards season runs…	
6	‘Napoleon’ Conquers Tuesday Thanksgiving Previews With $3M, ‘Wish’ $2.3M; ‘Hunger Games’ Wins Day With $6.5M – Box Office	Refresh for updates Apple Original Productions Ridley Scott Napoleon won $3M in Tuesday night previews while Disney’s Wish took in $2.3M. Both fired off at 3PM yesterday. That’s an impressive number for Napoleon given the war epic movie that it is: it’s right…	
7	Box Office: ‘Napoleon’ Makes $3 Million in Previews, ‘Wish’ Follows With $2.3 Million	Disney is wishing upon a box office star this Thanksgiving, as its latest animated movie “Wish” takes on Apple’s historical drama “Napoleon.” “Wish” is expected to come out on top this weekend, but “Napoleon” won the first box office battle in previews. “Napo…	
8	Daisy Ridley Teases Her Unexpected Star Wars Movie	"Image: Lucasfilm
David Tennant teases a wild climax to the Doctor Who anniversary specials. Get a new look at Colin Farrell’s return as the Penguin. Muppets Mayhem is no more, but Black Mirror will returns for more. Plus, Cobra Kai prepares to return to film…"	
9	Napoleon Ending Explained: The French Mistake	Let&amp;#39;s put on our bicorne spoiler hats and look at the ending of Ridley Scott&amp;#39;s historical epic Napoleon, starring Joaquin Phoenix and Vanessa Kirby.	
10	‘The Hunger Games’ Prequel Is Another Failed Franchise Relaunch In 2023	"Despite topping charts worldwide this past weekend, ""The Hunger Games: The Ballad of Songbirds and Snakes"" needs a big holiday boost to avoid becoming another victim of the 2023 box office."	
11	Now You See Me 3 Production Start Date Window Given by Jesse Eisenberg	Jesse Eisenberg has starred in both entries to the Now You See Me franchise, and as development of a third film begins, Eisenberg is ready to get “a breath of fresh air” when it comes to his role. Speaking to ComingSoon, Eisenberg was asked about his interest…	
12	Tiger 3 Day 10 Box Office Collection: Salman Khan’s Movie Records Lowest Single Day Earnings	Salman Khan’s latest action thriller, Tiger 3, started off with a blockbuster run amidst the festivities. With Katrina Kaif and Emraan Hashmi as part of the stellar cast, the latest installment of the Tiger franchise promised to be a visual treat for fans. Th…	
13	The sperm whale attack that inspired the novel 'Moby-Dick' may have also involved some aggressive killer whales	"The Essex crew were attacked by whales in 1820. It inspired ""Moby-Dick,"" and shows that we've been fascinated with the whale interactions for a long time."	
14	One More Spunky UK Trailer for 'Poor Things' Lead by Emma Stone	"""We must experience everything... not just the good!"" Searchlight Pictures has unveiled another yet new 60-second preview for Yorgos Lanthimos brilliant film Poor Things, which is produced by and starring the soon-to-be-Oscar-nominated-again Emma Stone. It wo…"	
15	Luke Evans & Billy Porter Are Getting a Divorce in 'Our Son' Film Trailer	"""Why are you doing this? You're destroying everything that we built together?"" Vertical has revealed the official trailer for an indie custody drama titled Our Son, from director Bill Oliver. This initially premiered at the 2023 Tribeca Film Festival earlier …"	
16	Melissa Barrera Fired From 'Scream VII' Over Israel, Palestine Social Posts	Melissa Barrera is out of her starring role in the 'Scream' franchise, and the production company that fired her says it's due to her social media posts it deems hate-inciting and antisemitic. The actress was set to once again assume the leading…	
17	40 Great Thanksgiving Cocktails	"These Thanksgiving cocktails celebrate the flavors of the season! Try drinks starring apple, pomegranate, and cranberry and more. Thanksgiving is…
A Couple Cooks - Recipes worth repeating."	
18	Breaking Bad And Better Call Saul Complete Series Bundles Are On Sale For Black Friday	Black Friday itself is right around the corner, but you don't have to wait a minute longer to save big on a number of items, and that includes the complete series bundles for Breaking Bad and Better Call Saul. Amazon has both discounted significantly for the …	
19	Ralph Macchio And Jackie Chan Join Forces For A New Karate Kid Movie	Ralph Macchio and Jackie Chan are both starring in a new Karate Kid film, which has kicked off a global search for the next Karate Kid.According to The Hollywood Reporter, the feature is as yet untitled. Johnathan Entwistle, best known for his work on TV with…	
20	Mukesh Chhabra says Shah Rukh Khan’s Dunki will ‘break all records’, calls it film of a lifetime: ‘100 times better than 3 Idiots’	Mukesh Chhabra, who will be next seen in Sony LIV series Chamak, said Shah Rukh Khan-Rajkumar Hirani's Dunki will remind people of the simplicity of timeless Indian classics like Anand and Do Aankhen Barah Haath.	
21	‘Fortnite’ Reveals Date And Time For Its Big Bang Finale Event, Starring Eminem And LEGOs	Here's the date and time for Fortnite's Big Bang event which will somehow include both Eminem and LEGOs	
