index	title	description	category	keyword
0	Every James Mangold Movie Ranked Worst To Best	James Mangold has been directing excellent movies for decades. From Logan to Indiana Jones, here's how they all rank against each other.		blockbuster movies 2023
1	This Might Be The Best Week For Netflix Subscribers Ever	In what may be the most exciting week for Netflix subscribers yet, the streaming giant is set to deliver an extraordinary lineup of titles.		blockbuster movies 2023
2	A Closer Look At Marvel’s Box-Office Woes	If there’s one sentiment dominating the movie landscape in 2023, it’s that Marvel Studios is no longer a guaranteed hitmaker like in past years and its box-office is in trouble. A recent report at Forbes, however, disputes that latter conjecture, saying the r…		blockbuster movies 2023
3	Stockholm Film Festival 2023	This year, the Stockholm Film Festival featured movies that look at how new technologies such as fake news and A.I. affect our society. There was also a spotlight on new British films, and it honored Ethan Hawke, Ken ...		blockbuster movies 2023
4	Cyber Monday streaming deals: Save up to 89% on Disney Plus, Max, Hulu, Peacock, and more	Most of the best Cyber Monday streaming deals end today so don't miss your chance to get the best prices of the year.		blockbuster movies 2023
5	10 must-see movies arriving on Netflix in December 2023	Netflix is getting a treasure trove of new movies in December, and these are the ones to watch first		blockbuster movies 2023
6	"Frozen 3 Is ""So Epic It May Not Fit Into Just One Film"""	We don't usually see many announcements during Disney Investor Calls because, despite what people might think on social media, these things are not D23 presentations. However, the call at the beginning of the year came with a few small announcements, mostly t…		blockbuster movies 2023
7	Disney Reveals Plan To Recreate ‘Harry Potter’ With ‘Frozen 3′	There was a time after Frozen was released when you could not escape “Let It Go”. Now, it seems Disney aren’t about to let Frozen go with its new multi-movie franchise plan. Related: The Best Disney End Credit Songs, Ranked Frozen (2013) has become crucial to…		blockbuster movies 2023
8	Check out this great movie before it leaves Amazon Prime Video next week	Looking for a great film to watch after Thanksgiving? Then check out this classic groundbreaking movie before it leaves Amazon Prime Video next week.		blockbuster movies 2023
9	The movies are back. But we're still learning how to love going to theaters again	From 'Barbenheimer' to 'Taylor Swift: The Eras Tour,' people are going to cinemas again. But a post-pandemic, post-strike Hollywood has its work cut out for it.		blockbuster movies 2023
10	"New Godzilla movie earns perfect Rotten Tomatoes score, with critics saying it's ""everything you could want from a monster movie"""	The movie arrives in the US and UK next month		blockbuster movies 2023
11	Thanksgiving Eve Box Office: Disney’s ‘Wish’ Grosses $8.3 Million, Apple’s ‘Napoleon’ Earns $7.7 Million	Hollywood might not be feeling so festive this Thanksgiving. The holiday period is traditionally a busy time for moviegoing, but audiences aren’t turning out in force over Turkey Day, leaving the box office suffering from too much tryptophan. In this drowsy s…		blockbuster movies 2023
12	Five Nights At Freddy’s Box Office Passes Big Horror Movie Milestone	Five Nights at Freddy's, which is adapted from the video game franchise of the same name, surpasses an important milestone at the global box office.		blockbuster movies 2023
13	THE MARVELS And 9 More Of The Biggest Superhero Movie Box Office Flops In The Genre's History	The Marvels recently crashed and burned at the box office, but it's far from the only superhero movie to underperform in that way. In this feature, we look back at more of the genre's biggest flops...		blockbuster movies 2023
14	The Rock Finally Has His Fast & Furious Replacement Franchise	With Fast and Furious' main film series coming towards an end, Dwayne &quot;The Rock&quot; Johnson seems to have his next big franchise already lined up.		blockbuster movies 2023
15	Godzilla Minus One Debuts With Perfect Rotten Tomatoes Score	Some critics are saying Godzilla Minus One is one of the King of the Monsters' best movies yet.		blockbuster movies 2023
16	The Best Movies To Watch On Paramount+ Right Now	From drama like The Whale and the high action adventures of Indiana Jones, Paramount Plus has a vast collection of great films for every viewer.		blockbuster movies 2023
17	Peacock Is Adding The Exorcist: Believer to Your Christmas Stocking	One of the most anticipated horror movies of 2023 is about to make its Peacock debut. And while The Exorcist: Believer didn’t exactly set critics on fire, here’s your chance to check out David Gordon Green’s would-be franchise reviver and trilogy-starter ahea…		blockbuster movies 2023
